name,ingredients,diet,flavor_profile,course,state,region,image
Balu shahi,"Maida flour, yogurt, oil, sugar",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/11/balushahi.jpg
Boondi,"Gram flour, ghee, sugar",vegetarian,sweet,dessert,Rajasthan,West,https://www.spiceupthecurry.com/wp-content/uploads/2020/08/boondi-ladoo-1.jpg
Gajar ka halwa,"Carrots, milk, sugar, ghee, cashews, raisins",vegetarian,sweet,dessert,Punjab,North,https://www.spiceupthecurry.com/wp-content/uploads/2020/08/boondi-ladoo-1.jpg
Ghevar,"Flour, ghee, kewra, milk, clarified butter, sugar, almonds, pistachio, saffron, green cardamom",vegetarian,sweet,dessert,Rajasthan,West,https://upload.wikimedia.org/wikipedia/commons/a/a7/GhevarRajasthaniSweet.jpg
Gulab jamun,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",vegetarian,sweet,dessert,West Bengal,East,https://images.news18.com/ibnkhabar/uploads/2020/12/gulab-jamun.jpg
Imarti,"Sugar syrup, lentil flour",vegetarian,sweet,dessert,West Bengal,East,https://i.pinimg.com/736x/42/7e/a2/427ea2b8d28fbaf5efc1f6f7db47e25a.jpg
Jalebi,"Maida, corn flour, baking soda, vinegar, curd, water, turmeric, saffron, cardamom",vegetarian,sweet,dessert,Uttar Pradesh,North,https://i.pinimg.com/736x/42/7e/a2/427ea2b8d28fbaf5efc1f6f7db47e25a.jpg
Kaju katli,"Cashews, ghee, cardamom, sugar",vegetarian,sweet,dessert,Sorry! Not Known,Popular all over India,https://i.pinimg.com/736x/42/7e/a2/427ea2b8d28fbaf5efc1f6f7db47e25a.jpg
Kalakand,"Milk, cottage cheese, sugar",vegetarian,sweet,dessert,West Bengal,East,https://i.pinimg.com/736x/42/7e/a2/427ea2b8d28fbaf5efc1f6f7db47e25a.jpg
Kheer,"Milk, rice, sugar, dried fruits",vegetarian,sweet,dessert,Sorry! Not Known,Popular all over India,https://i.pinimg.com/736x/42/7e/a2/427ea2b8d28fbaf5efc1f6f7db47e25a.jpg
Laddu,"Gram flour, ghee, sugar",vegetarian,sweet,dessert,Sorry! Not Known,Popular all over India,https://i.pinimg.com/736x/42/7e/a2/427ea2b8d28fbaf5efc1f6f7db47e25a.jpg
Lassi,"Yogurt, milk, nuts, sugar",vegetarian,sweet,dessert,Punjab,North,https://i.pinimg.com/736x/42/7e/a2/427ea2b8d28fbaf5efc1f6f7db47e25a.jpg
Nankhatai,"Refined flour, besan, ghee, powdered sugar, yoghurt, green cardamom",vegetarian,sweet,dessert,Sorry! Not Known,Popular all over India,https://i.pinimg.com/736x/42/7e/a2/427ea2b8d28fbaf5efc1f6f7db47e25a.jpg
